article_id,candidate_id,order,source_witness_id,source_pdf_page,source_printed_page,source_ocr_line_start,source_ocr_line_end,headword_es_ocr,cora_ocr,raw_span_ocr,separator_type,page_alignment_status,extraction_confidence,machine_status,machine_rationale,authority_status,release_eligible,human_verified
ORT1888-art-000001,ORT1888-cand-000001,1,ORTEGA1888-TEPIC-IA,19,15,547,548,"A., denotando la persona que padece","A., hua.","A., denotando la persona que padece. — A., hua.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000002,ORT1888-cand-000002,2,ORTEGA1888-TEPIC-IA,19,15,549,550,Abajar algo,Acátoa. Nete. Acucare. Nete.,Abajar algo. — Acátoa. Nete. Acucare. Nete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000003,ORT1888-cand-000003,3,ORTEGA1888-TEPIC-IA,19,15,551,552,Abajar alguno,Acátezin Nete. Acahazéme. Nete.,Abajar alguno. — Acátezin Nete. Acahazéme. Nete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000004,ORT1888-cand-000004,4,ORTEGA1888-TEPIC-IA,19,15,553,554,Abajar la cabeza,Abaútona. Nabántona.,Abajar la cabeza. — Abaútona. Nabántona.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000005,ORT1888-cand-000005,5,ORTEGA1888-TEPIC-IA,19,15,555,556,Abajar ó decender,Acame. N.,Abajar ó decender. — Acame. N.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000006,ORT1888-cand-000006,6,ORTEGA1888-TEPIC-IA,19,15,557,558,Abajar y alzar á menudo la cabeza,Temubá. Ne.,Abajar y alzar á menudo la cabeza. — Temubá. Ne.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000007,ORT1888-cand-000007,7,ORTEGA1888-TEPIC-IA,19,15,559,560,Abajarse inclinándose,Abaútona. Nabántona.,Abajarse inclinándose. — Abaútona. Nabántona.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000008,ORT1888-cand-000008,8,ORTEGA1888-TEPIC-IA,19,15,561,563,"Abajar la rama del árbol, doblegándola",Acahutacá Ne-,"Abajar la rama del árbol, doblegándola. — Acahutacá Ne- | 'te.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000009,ORT1888-cand-000009,9,ORTEGA1888-TEPIC-IA,19,15,564,564,Abajo por donde corre el rio,Iúte Mete.,Abajo por donde corre el rio. — Iúte Mete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000010,ORT1888-cand-000010,10,ORTEGA1888-TEPIC-IA,19,15,565,565,Abajo respecto de lo alto,Make Muke Ake.,Abajo respecto de lo alto. — Make Muke Ake.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000011,ORT1888-cand-000011,11,ORTEGA1888-TEPIC-IA,19,15,566,566,Abarcar entre los brazos,Bévi. Nete.,Abarcar entre los brazos.— Bévi. Nete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000012,ORT1888-cand-000012,12,ORTEGA1888-TEPIC-IA,19,15,567,567,Abarcar debajo del sobaco,Vicurétzina. Nete.,Abarcar debajo del sobaco. — Vicurétzina. Nete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000013,ORT1888-cand-000013,13,ORTEGA1888-TEPIC-IA,19,15,568,568,Abasta adv,Ayápúche. Arepoá.,Abasta adv. — Ayápúche. Arepoá.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000014,ORT1888-cand-000014,14,ORTEGA1888-TEPIC-IA,19,15,569,569,Abeja mansa de colmena,Zearáte. pl. ri.,Abeja mansa de colmena. — Zearáte. pl. ri.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000015,ORT1888-cand-000015,15,ORTEGA1888-TEPIC-IA,19,15,570,575,"Abeja que cria dentro del árbol, y tiene miel",Xumuate.,"Abeja que cria dentro del árbol, y tiene miel. — Xumuate. | pl. ri. | J",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000016,ORT1888-cand-000016,16,ORTEGA1888-TEPIC-IA,20,16,580,580,Abeja m'oüteza de color blanco,Tucaixarizt. Caretsing.,Abeja m'oüteza de color blanco. — Tucaixarizt. Caretsing.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000017,ORT1888-cand-000017,17,ORTEGA1888-TEPIC-IA,20,16,581,586,Abeja que cuelga el nido como de un hilo,Tzihcn. \\.,"Abeja que cuelga el nido como de un hilo.- Tzihcn. \\. | Tziheá cariti,",hyphen_variant,matched_headword,medium,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000018,ORT1888-cand-000018,18,ORTEGA1888-TEPIC-IA,20,16,587,587,Abeja que aun no vuela,Tzinuiate. {>1. ri,Abeja que aun no vuela. — Tzinuiate. {>1. ri,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000019,ORT1888-cand-000019,19,ORTEGA1888-TEPIC-IA,20,16,588,588,Abeja que anida en las nenas,Chuarete pl ri,Abeja que anida en las nenas. — Chuarete pl ri,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000020,ORT1888-cand-000020,20,ORTEGA1888-TEPIC-IA,20,16,589,592,"Abeja que cria, debajo de la tierra",Iúte. [>l. ri.,"Abeja que cria, debajo de la tierra: — Iúte. [>l. ri. | Abeja pequeñita que cria tambiel) debajo de la tierra, | Ailiqueze. pl. ri.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
ORT1888-art-000021,ORT1888-cand-000021,21,ORTEGA1888-TEPIC-IA,20,16,593,594,Abertura de la boca,Ancáeúne.,Abertura de la boca. — Ancáeúne.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,True,False
