ID,Language_ID,Headword,Part_Of_Speech,Source,CHD_Candidate_ID,CHD_Source_Witness_ID,CHD_Source_PDF_Page,CHD_Source_Printed_Page,CHD_Source_OCR_Line_Start,CHD_Source_OCR_Line_End,CHD_Raw_Span_OCR,CHD_Separator_Type,CHD_Page_Alignment_Status,CHD_Extraction_Confidence,CHD_Machine_Status,CHD_Machine_Rationale,CHD_Authority_Status,CHD_Release_Eligible,CHD_Human_Verified
ORT1888-art-000001,spa,"A., denotando la persona que padece",,Ortega1888[15],ORT1888-cand-000001,ORTEGA1888-TEPIC-IA,19,15,547,548,"A., denotando la persona que padece. — A., hua.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000002,spa,Abajar algo,,Ortega1888[15],ORT1888-cand-000002,ORTEGA1888-TEPIC-IA,19,15,549,550,Abajar algo. — Acátoa. Nete. Acucare. Nete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000003,spa,Abajar alguno,,Ortega1888[15],ORT1888-cand-000003,ORTEGA1888-TEPIC-IA,19,15,551,552,Abajar alguno. — Acátezin Nete. Acahazéme. Nete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000004,spa,Abajar la cabeza,,Ortega1888[15],ORT1888-cand-000004,ORTEGA1888-TEPIC-IA,19,15,553,554,Abajar la cabeza. — Abaútona. Nabántona.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000005,spa,Abajar ó decender,,Ortega1888[15],ORT1888-cand-000005,ORTEGA1888-TEPIC-IA,19,15,555,556,Abajar ó decender. — Acame. N.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000006,spa,Abajar y alzar á menudo la cabeza,,Ortega1888[15],ORT1888-cand-000006,ORTEGA1888-TEPIC-IA,19,15,557,558,Abajar y alzar á menudo la cabeza. — Temubá. Ne.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000007,spa,Abajarse inclinándose,,Ortega1888[15],ORT1888-cand-000007,ORTEGA1888-TEPIC-IA,19,15,559,560,Abajarse inclinándose. — Abaútona. Nabántona.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000008,spa,"Abajar la rama del árbol, doblegándola",,Ortega1888[15],ORT1888-cand-000008,ORTEGA1888-TEPIC-IA,19,15,561,563,"Abajar la rama del árbol, doblegándola. — Acahutacá Ne- | 'te.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000009,spa,Abajo por donde corre el rio,,Ortega1888[15],ORT1888-cand-000009,ORTEGA1888-TEPIC-IA,19,15,564,564,Abajo por donde corre el rio. — Iúte Mete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000010,spa,Abajo respecto de lo alto,,Ortega1888[15],ORT1888-cand-000010,ORTEGA1888-TEPIC-IA,19,15,565,565,Abajo respecto de lo alto. — Make Muke Ake.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000011,spa,Abarcar entre los brazos,,Ortega1888[15],ORT1888-cand-000011,ORTEGA1888-TEPIC-IA,19,15,566,566,Abarcar entre los brazos.— Bévi. Nete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000012,spa,Abarcar debajo del sobaco,,Ortega1888[15],ORT1888-cand-000012,ORTEGA1888-TEPIC-IA,19,15,567,567,Abarcar debajo del sobaco. — Vicurétzina. Nete.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000013,spa,Abasta adv,,Ortega1888[15],ORT1888-cand-000013,ORTEGA1888-TEPIC-IA,19,15,568,568,Abasta adv. — Ayápúche. Arepoá.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000014,spa,Abeja mansa de colmena,,Ortega1888[15],ORT1888-cand-000014,ORTEGA1888-TEPIC-IA,19,15,569,569,Abeja mansa de colmena. — Zearáte. pl. ri.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000015,spa,"Abeja que cria dentro del árbol, y tiene miel",,Ortega1888[15],ORT1888-cand-000015,ORTEGA1888-TEPIC-IA,19,15,570,575,"Abeja que cria dentro del árbol, y tiene miel. — Xumuate. | pl. ri. | J",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000016,spa,Abeja m'oüteza de color blanco,,Ortega1888[16],ORT1888-cand-000016,ORTEGA1888-TEPIC-IA,20,16,580,580,Abeja m'oüteza de color blanco. — Tucaixarizt. Caretsing.,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000017,spa,Abeja que cuelga el nido como de un hilo,,Ortega1888[16],ORT1888-cand-000017,ORTEGA1888-TEPIC-IA,20,16,581,586,"Abeja que cuelga el nido como de un hilo.- Tzihcn. \\. | Tziheá cariti,",hyphen_variant,matched_headword,medium,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000018,spa,Abeja que aun no vuela,,Ortega1888[16],ORT1888-cand-000018,ORTEGA1888-TEPIC-IA,20,16,587,587,Abeja que aun no vuela. — Tzinuiate. {>1. ri,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000019,spa,Abeja que anida en las nenas,,Ortega1888[16],ORT1888-cand-000019,ORTEGA1888-TEPIC-IA,20,16,588,588,Abeja que anida en las nenas. — Chuarete pl ri,em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
ORT1888-art-000020,spa,"Abeja que cria, debajo de la tierra",,Ortega1888[16],ORT1888-cand-000020,ORTEGA1888-TEPIC-IA,20,16,589,592,"Abeja que cria, debajo de la tierra: — Iúte. [>l. ri. | Abeja pequeñita que cria tambiel) debajo de la tierra, | Ailiqueze. pl. ri.",em_dash,matched_headword,high,machine_accepted,direct_page_headword_match,machine_derived,true,false
