irregular_id,order,source_witness_id,source_path,source_unit_id,source_appendix_start_line,source_appendix_end_line,record_type,raw_text_ocr,machine_observations,record_status,authority_status,human_verified
ORT1888-irr-001,1,ORTEGA1888-TEPIC-IA,data/appendices/irregular_verbs_particles_ocr.txt,ORT1888-irrunit-001,1,3,explanatory_prose,"Por  último  pondrá  aqui  algunos  verbos  irregulares,  y 
algunas  partículas  que  no  han  tenido  lugar  en  el  cuerpo 
de  este  vocabulario.","[""mentions_particle"", ""appendix_intro""]",machine_structured_appendix_unit,machine_derived,False
ORT1888-irr-002,2,ORTEGA1888-TEPIC-IA,data/appendices/irregular_verbs_particles_ocr.txt,ORT1888-irrunit-002,5,5,irregular_verb_description,"El  verbo  Arieú,  tiene  solo  dos  personas.","[""explicit_verb_description""]",machine_structured_appendix_unit,machine_derived,False
ORT1888-irr-003,3,ORTEGA1888-TEPIC-IA,data/appendices/irregular_verbs_particles_ocr.txt,ORT1888-irrunit-003,7,7,imperative_example,"Imperativo. .— Arixu,  Anda  ó  vete. — Arieú,","[""contains_equivalence_separator_like_mark"", ""contains_multiple_separator_like_marks"", ""imperative_cue""]",machine_structured_appendix_unit,machine_derived,False
ORT1888-irr-004,4,ORTEGA1888-TEPIC-IA,data/appendices/irregular_verbs_particles_ocr.txt,ORT1888-irrunit-004,9,9,imperative_example,Andad  ó  ¡dos. — Cearicú.,"[""contains_equivalence_separator_like_mark"", ""imperative_cue""]",machine_structured_appendix_unit,machine_derived,False
ORT1888-irr-005,5,ORTEGA1888-TEPIC-IA,data/appendices/irregular_verbs_particles_ocr.txt,ORT1888-irrunit-005,11,11,form_cluster,"Hahua,  •",[],machine_structured_appendix_unit,machine_derived,False
ORT1888-irr-006,6,ORTEGA1888-TEPIC-IA,data/appendices/irregular_verbs_particles_ocr.txt,ORT1888-irrunit-006,13,13,expression_example,Estí  a  y  tu  padre? — Necaemaháhua  ayaoppa?,"[""contains_equivalence_separator_like_mark"", ""contains_question_mark""]",machine_structured_appendix_unit,machine_derived,False
ORT1888-irr-007,7,ORTEGA1888-TEPIC-IA,data/appendices/irregular_verbs_particles_ocr.txt,ORT1888-irrunit-007,15,15,expression_example,"No  está  ay — Capuh'ihua,  vel.  Capuyahahua.  Caniyá.","[""contains_equivalence_separator_like_mark"", ""contains_vel_variant_marker""]",machine_structured_appendix_unit,machine_derived,False
ORT1888-irr-008,8,ORTEGA1888-TEPIC-IA,data/appendices/irregular_verbs_particles_ocr.txt,ORT1888-irrunit-008,17,17,imperative_example,Sociégate.  —  Caniyá,"[""contains_equivalence_separator_like_mark"", ""imperative_cue""]",machine_structured_appendix_unit,machine_derived,False
ORT1888-irr-009,9,ORTEGA1888-TEPIC-IA,data/appendices/irregular_verbs_particles_ocr.txt,ORT1888-irrunit-009,19,19,imperative_example,Socegaos. — Cecaniyá.,"[""contains_equivalence_separator_like_mark"", ""imperative_cue""]",machine_structured_appendix_unit,machine_derived,False
ORT1888-irr-010,10,ORTEGA1888-TEPIC-IA,data/appendices/irregular_verbs_particles_ocr.txt,ORT1888-irrunit-010,21,21,form_cluster,"Tetákast,  vel.  Putebákazt,  vel.  Tatoan.  Putebákazt.","[""contains_vel_variant_marker""]",machine_structured_appendix_unit,machine_derived,False
ORT1888-irr-011,11,ORTEGA1888-TEPIC-IA,data/appendices/irregular_verbs_particles_ocr.txt,ORT1888-irrunit-011,23,24,expression_example,"Los  Gobernadores  <jiie  eran. — Timuericat.  Máhtacatziz- 
ti.  puri,  quiere  decir  vulgarmente  hablando;  yakstú^dtjníoX","[""contains_equivalence_separator_like_mark"", ""contains_metalinguistic_gloss""]",machine_structured_appendix_unit,machine_derived,False
ORT1888-irr-012,12,ORTEGA1888-TEPIC-IA,data/appendices/irregular_verbs_particles_ocr.txt,ORT1888-irrunit-012,26,27,particle_description,"Poahel,  es  señal  de  admiración,  si  bien  no  se  usa  de  ella 
por  cosas  serias  ni  sagradas.",[],machine_structured_appendix_unit,machine_derived,False
ORT1888-irr-013,13,ORTEGA1888-TEPIC-IA,data/appendices/irregular_verbs_particles_ocr.txt,ORT1888-irrunit-013,29,30,explanatory_prose,"Preguntando  uno  una  adivinanza,  si  no  acierta  el  que 
responde  le  dice  el  que  pregunta:  Ea,  vel.  Ei.","[""contains_vel_variant_marker"", ""narrative_frame""]",machine_structured_appendix_unit,machine_derived,False
ORT1888-irr-014,14,ORTEGA1888-TEPIC-IA,data/appendices/irregular_verbs_particles_ocr.txt,ORT1888-irrunit-014,32,34,particle_description,"Che,  es  partícula  de  que  se  usa  en    los   optativos:    Che 
Dios  niamuahchéaea,  Dios  te  ame. 
Nuca,   k  e  usa  de  él  cuando  sov  tercero  de  otro  que  se  halla.","[""mentions_particle""]",machine_structured_appendix_unit,machine_derived,False
ORT1888-irr-015,15,ORTEGA1888-TEPIC-IA,data/appendices/irregular_verbs_particles_ocr.txt,ORT1888-irrunit-015,36,39,explanatory_prose,"Dice  uno:  Taimevé:  trae  una  lumbre,  le  diré  }7o  al  que 
se  lo  manda:  taitmúca,  lumbre  te  piden.  Ama  tú  á  Dios, 
pamuahche  eu  Dios,  y  diré  yo  á  quien  se  lo  dicen,  si  no  lo 
oyó  ó  si  no  lo  entendió.  Pamuahche  núc.  en  Dios.  ■","[""narrative_frame""]",machine_structured_appendix_unit,machine_derived,False
